Dimensão;30
Media esperada;0.7
Delta Inicial;0.7

Num Function; Seed; Valor da Função Objetivo
1;1;0.0176322
1;2;0.0163415
1;3;0.000694534
2;1;0.25163
2;2;0.405578
2;3;0.79421
3;1;0.0724684
3;2;0.55006
3;3;0.0890914
4;1;0.450216
4;2;0.450216
4;3;0.450216
5;1;28.3241
5;2;34.3603
5;3;27.9605
6;1;13
6;2;13
6;3;11
7;1;0.301302
7;2;0.300022
7;3;0.32079
8;1;-7202.9
8;2;-6390.63
8;3;-6392.24
9;1;42.1422
9;2;35.8758
9;3;42.2111
10;1;0.127462
10;2;0.0333674
10;3;0.158376
11;1;0.000537666
11;2;9.20089e-05
11;3;0.00435499
