PROBLEMA;SEMENTE;Sucessos;PSO-PS;
1;1;30;6;64553.5
1;2;30;6;64553.5
1;3;30;6;64553.5
2;1;30;4;5.32217e+10
2;2;30;4;5.32217e+10
2;3;30;4;5.32217e+10
3;1;30;3;95045.8
3;2;30;3;95045.8
3;3;30;3;95045.8
4;1;30;6;86.353
4;2;30;6;86.353
4;3;30;6;86.353
5;1;30;5;2.29496e+08
5;2;30;5;2.29496e+08
5;3;30;5;2.29496e+08
6;1;30;4;Solucao nao-factivel: 1.70141e+39;-6.44245e+10
6;2;30;4;Solucao nao-factivel: 1.70141e+39;-6.44245e+10
6;3;30;4;Solucao nao-factivel: 1.70141e+39;-6.44245e+10
7;1;30;6;129.032
7;2;30;6;129.032
7;3;30;6;129.032
9;1;30;3;459.658
9;2;30;3;459.658
9;3;30;3;459.658
10;1;30;5;20.6564
10;2;30;5;20.6564
10;3;30;5;20.6564
11;1;30;6;581.982
11;2;30;6;581.982
11;3;30;6;581.982
12;1;30;5;5.1165e+08
12;2;30;5;5.1165e+08
12;3;30;5;5.1165e+08
13;1;30;5;1.05347e+09
13;2;30;5;1.05347e+09
13;3;30;5;1.05347e+09
14;1;30;2;Solucao nao-factivel: 1.4615e+48;0.148413
14;2;30;2;Solucao nao-factivel: 1.4615e+48;0.148413
14;3;30;2;Solucao nao-factivel: 1.4615e+48;0.148413
15;1;30;5;-0.194844
15;2;30;5;-0.194844
15;3;30;5;-0.194844
16;1;30;1;-0.321729
16;2;30;1;-0.321729
16;3;30;1;-0.321729
17;1;30;1;-nan
17;2;30;1;-nan
17;3;30;1;-nan
18;1;30;3;-285.28
18;2;30;3;-285.28
18;3;30;3;-285.28
19;1;30;2;2.54275e+12
19;2;30;2;2.54275e+12
19;3;30;2;2.54275e+12
20;1;30;4;1022.95
20;2;30;4;1022.95
20;3;30;4;1022.95
21;1;30;3;Solucao nao-factivel: 6.80565e+38;-7.66955e+39
21;2;30;3;Solucao nao-factivel: 6.80565e+38;-7.66955e+39
21;3;30;3;Solucao nao-factivel: 6.80565e+38;-7.66955e+39
