PROBLEMA;SEMENTE;DIMENSAO;PSO; PSO-PS
1 ; 1 ; 30;1.0856e-10 ; 3.33005e-07 ; 
1 ; 2 ; 30;1.84976e-11 ; 4.85968e-07 ; 
2 ; 1 ; 30;5.59815e-09 ; 9.06899e-06 ; 
2 ; 2 ; 30;5.9966e-10 ; 1.10724e-05 ; 
3 ; 1 ; 30;1.59661e-30 ; 2.00033e-15 ; 
3 ; 2 ; 30;1.11494e-30 ; 9.82674e-16 ; 
4 ; 1 ; 30;1.86614e-16 ; 3.35952e-08 ; 
4 ; 2 ; 30;7.58803e-16 ; 9.99169e-09 ; 
5 ; 1 ; 30;28.769 ; 24.5686 ; 
5 ; 2 ; 30;28.7711 ; 24.6007 ; 
6 ; 1 ; 30;-777 ; -897 ; 
6 ; 2 ; 30;-737 ; -749 ; 
7 ; 1 ; 30;0.44053 ; 0.21769 ; 
7 ; 2 ; 30;0.712247 ; 0.695421 ; 
8 ; 1 ; 30;-3368.28 ; -3235.54 ; 
8 ; 2 ; 30;-3461.44 ; -7691.52 ; 
9 ; 1 ; 30;0 ; 1.07553e-16 ; 
9 ; 2 ; 30;0 ; 4.33681e-18 ; 
10 ; 1 ; 30;9.57195e-07 ; 6.80655e-05 ; 
10 ; 2 ; 30;7.21428e-07 ; 0.000254131 ; 
11 ; 1 ; 30;1.12182e-15 ; 2.12361e-10 ; 
11 ; 2 ; 30;1.66365e-14 ; 2.37236e-09 ; 
12 ; 1 ; 30;4.47947e-26 ; 4.47947e-26 ; 
12 ; 2 ; 30;4.47947e-26 ; 4.47947e-26 ; 
13 ; 1 ; 30;2.82721 ; 0.141153 ; 
13 ; 2 ; 30;2.81614 ; 0.181051 ; 
14 ; 1 ; 30;0.000391164 ; 0.000307698 ; 
14 ; 2 ; 30;0.00035561 ; 0.000308192 ; 
15 ; 1 ; 30;-0.658283 ; -0.960886 ; 
15 ; 2 ; 30;-0.87406 ; -0.994761 ; 
16 ; 1 ; 30;-0.321729 ; -0.321729 ; 
16 ; 2 ; 30;-0.321729 ; -0.321729 ; 
17 ; 1 ; 30;nan ; nan ; 
17 ; 2 ; 30;nan ; nan ; 
18 ; 1 ; 30;1.04367e+09 ; 3.38609e+08 ; 
18 ; 2 ; 30;7.6253e+08 ; 1.24361e+08 ; 
19 ; 1 ; 30;-286.358 ; -286.818 ; 
19 ; 2 ; 30;-286.667 ; -287.316 ; 
20 ; 1 ; 30;1.52119e+12 ; 7.39809e+10 ; 
20 ; 2 ; 30;1.90938e+12 ; 1.30625e+11 ; 
21 ; 1 ; 30;830.655 ; 589.087 ; 
21 ; 2 ; 30;702.164 ; 579.665 ; 
